YYYY;MM;DD;qobs;qc_flag
1952;7;8;409.8;40.0
1952;7;9;393.72;40.0
1952;7;10;393.72;40.0
1952;7;11;393.72;40.0
1952;7;12;369.85;40.0
1952;7;13;330.74;40.0
1952;7;14;334.62;40.0
1952;7;15;330.74;40.0
1952;7;16;323.03;40.0
1952;7;17;319.19;40.0
1952;7;18;326.88;40.0
1952;7;19;319.19;40.0
1952;7;20;319.19;40.0
1952;7;21;346.28;40.0
1952;7;22;365.9;40.0
1952;7;23;369.85;40.0
1952;7;24;426.0;40.0
1952;7;25;442.33;40.0
1952;7;26;458.77;40.0
1952;7;27;430.07;40.0
1952;7;28;413.83;40.0
1952;7;29;413.83;40.0
1952;7;30;405.76;40.0
1952;7;31;397.73;40.0
1952;8;1;385.73;40.0
1952;8;2;377.77;40.0
1952;8;3;373.81;40.0
1952;8;4;369.85;40.0
1952;8;5;381.75;40.0
1952;8;6;365.9;40.0
1952;8;7;354.1;40.0
1952;8;8;358.03;40.0
1952;8;9;354.1;40.0
1952;8;10;338.5;40.0
1952;8;11;326.88;40.0
1952;8;12;326.88;40.0
1952;8;13;338.5;40.0
1952;8;14;330.74;40.0
1952;8;15;326.88;40.0
1952;8;16;319.19;40.0
1952;8;17;319.19;40.0
1952;8;18;319.19;40.0
1952;8;19;323.03;40.0
1952;8;20;330.74;40.0
1952;8;21;323.03;40.0
1952;8;22;350.19;40.0
1952;8;23;393.72;40.0
1952;8;24;373.81;40.0
1952;8;25;377.77;40.0
1952;8;26;365.9;40.0
1952;8;27;373.81;40.0
1952;8;28;369.85;40.0
1952;8;29;311.53;40.0
1952;8;30;311.53;40.0
1952;8;31;311.53;40.0
1952;9;1;330.74;40.0
1952;9;2;315.35;40.0
1952;9;3;288.77;40.0
1952;9;4;288.77;40.0
1952;9;5;281.26;40.0
1952;9;6;281.26;40.0
1952;9;7;266.37;40.0
1952;9;8;270.08;40.0
1952;9;9;281.26;40.0
1952;9;10;281.26;40.0
1952;9;11;288.77;40.0
1952;9;12;300.11;40.0
1952;9;13;296.32;40.0
1952;9;14;300.11;40.0
1952;9;15;311.53;40.0
1952;9;16;346.28;40.0
1952;9;17;323.03;40.0
1952;9;18;296.32;40.0
1952;9;19;292.54;40.0
1952;9;20;292.54;40.0
1952;9;21;292.54;40.0
1952;9;22;315.35;40.0
1952;9;23;311.53;40.0
1952;9;24;303.9;40.0
1952;9;25;296.32;40.0
1952;9;26;285.01;40.0
1952;9;27;273.8;40.0
1952;9;28;266.37;40.0
1952;9;29;273.8;40.0
1952;9;30;266.37;40.0
1952;10;1;270.08;40.0
1952;10;2;270.08;40.0
1952;10;3;303.9;40.0
1952;10;4;307.71;40.0
1952;10;5;303.9;40.0
1952;10;6;303.9;40.0
1952;10;7;285.01;40.0
1952;10;8;307.71;40.0
1952;10;9;292.54;40.0
1952;10;10;266.37;40.0
1952;10;11;277.53;40.0
1952;10;12;277.53;40.0
1952;10;13;285.01;40.0
1952;10;14;303.9;40.0
1952;10;15;303.9;40.0
1952;10;16;311.53;40.0
1952;10;17;300.11;40.0
1952;10;18;296.32;40.0
1952;10;19;315.35;40.0
1952;10;20;354.1;40.0
1952;10;21;365.9;40.0
1952;10;22;365.9;40.0
1952;10;23;334.62;40.0
1952;10;24;311.53;40.0
1952;10;25;311.53;40.0
1952;10;26;303.9;40.0
1952;10;27;296.32;40.0
1952;10;28;307.71;40.0
1952;10;29;300.11;40.0
1952;10;30;277.53;40.0
1952;10;31;266.37;40.0
1952;11;1;270.08;40.0
1952;11;2;281.26;40.0
1952;11;3;307.71;40.0
1952;11;4;311.53;40.0
1952;11;5;273.8;40.0
1952;11;6;251.64;40.0
1952;11;7;266.37;40.0
1952;11;8;292.54;40.0
1952;11;9;326.88;40.0
1952;11;10;323.03;40.0
1952;11;11;288.77;40.0
1952;11;12;296.32;40.0
1952;11;13;334.62;40.0
1952;11;14;358.03;40.0
1952;11;15;365.9;40.0
1952;11;16;323.03;40.0
1952;11;17;330.74;40.0
1952;11;18;334.62;40.0
1952;11;19;350.19;40.0
1952;11;20;373.81;40.0
1952;11;21;323.03;40.0
1952;11;22;326.88;40.0
1952;11;23;285.01;40.0
1952;11;24;288.77;40.0
1952;11;25;288.77;40.0
1952;11;26;277.53;40.0
1952;11;27;251.64;40.0
1952;11;28;247.98;40.0
1952;11;29;262.67;40.0
1952;11;30;281.26;40.0
1952;12;1;300.11;40.0
1952;12;2;307.71;40.0
1952;12;3;273.8;40.0
1952;12;4;277.53;40.0
1952;12;5;281.26;40.0
1952;12;6;281.26;40.0
1952;12;7;281.26;40.0
1952;12;8;307.71;40.0
1952;12;9;434.15;40.0
1952;12;10;450.53;40.0
1952;12;11;311.53;40.0
1952;12;12;255.31;40.0
1952;12;13;258.98;40.0
1952;12;14;197.96;40.0
1952;12;15;222.69;40.0
1952;12;16;262.67;40.0
1952;12;17;300.11;40.0
1952;12;18;354.1;40.0
1952;12;19;361.96;40.0
1952;12;20;292.54;40.0
1952;12;21;262.67;40.0
1952;12;22;270.08;40.0
1952;12;23;296.32;40.0
1952;12;24;288.77;40.0
1952;12;25;281.26;40.0
1952;12;26;255.31;40.0
