date,P_mm,T_degC,solid_P_mm
2012-05-17,0.588,-0.94,0.528
2012-05-18,1.701,-1.003,1.38
2012-05-19,0.12,0.972,0.114
2012-05-20,0.0,2.388,0.0
2012-05-21,0.891,4.161,0.261
2012-05-22,5.865,4.979,0.717
2012-05-23,5.691,6.711,0.078
2012-05-24,17.925,4.867,1.137
2012-05-25,5.283,5.068,1.29
2012-05-26,3.951,4.699,0.477
2012-05-27,0.189,6.318,0.0
2012-05-28,0.0,7.42,0.0
2012-05-29,0.0,8.258,0.0
2012-05-30,0.0,7.824,0.0
2012-05-31,0.0,7.297,0.0
2012-06-01,0.0,8.67,0.0
2012-06-02,0.0,9.922,0.0
2012-06-03,0.0,9.638,0.0
2012-06-04,0.009,8.804,0.0
2012-06-05,1.14,3.769,0.108
2012-06-06,0.642,3.281,0.555
2012-06-07,2.691,3.629,0.357
2012-06-08,0.0,6.097,0.0
2012-06-09,0.0,6.004,0.0
2012-06-10,0.012,6.727,0.0
2012-06-11,0.021,7.475,0.0
2012-06-12,0.045,7.456,0.003
2012-06-13,0.048,7.361,0.0
2012-06-14,0.048,7.62,0.006
2012-06-15,0.33,6.477,0.03
2012-06-16,9.405,4.866,2.277
2012-06-17,9.33,4.391,3.117
2012-06-18,2.01,6.172,0.117
2012-06-19,1.536,5.359,0.123
2012-06-20,1.974,5.573,0.141
2012-06-21,1.419,6.975,0.006
2012-06-22,0.705,9.022,0.006
2012-06-23,2.244,11.168,0.0
2012-06-24,0.0,10.349,0.0
2012-06-25,1.413,9.596,0.0
2012-06-26,0.909,9.701,0.0
2012-06-27,3.993,8.989,0.012
2012-06-28,0.903,8.891,0.0
2012-06-29,1.893,8.056,0.003
2012-06-30,0.111,8.864,0.0
2012-07-01,8.19,7.514,0.18
2012-07-02,5.436,6.895,0.048
2012-07-03,6.189,7.558,0.012
2012-07-04,0.732,8.702,0.006
2012-07-05,0.159,9.331,0.0
2012-07-06,0.297,9.014,0.0
2012-07-07,0.24,9.636,0.0
2012-07-08,0.66,10.25,0.0
2012-07-09,1.146,8.681,0.0
2012-07-10,0.0,7.928,0.0
2012-07-11,0.009,9.444,0.0
2012-07-12,0.0,11.66,0.0
2012-07-13,0.375,9.862,0.0
2012-07-14,0.687,9.887,0.0
2012-07-15,0.159,9.714,0.0
2012-07-16,0.0,10.975,0.0
2012-07-17,1.8,10.171,0.0
2012-07-18,4.998,9.208,0.0
2012-07-19,6.435,8.849,0.0
2012-07-20,3.762,8.896,0.0
2012-07-21,13.182,8.451,0.06
2012-07-22,17.781,9.803,0.0
2012-07-23,4.251,8.528,0.003
2012-07-24,0.33,6.973,0.033
2012-07-25,6.483,7.281,0.021
2012-07-26,0.672,7.639,0.003
2012-07-27,0.0,9.091,0.0
2012-07-28,0.0,10.437,0.0
2012-07-29,0.078,9.464,0.0
2012-07-30,1.89,8.333,0.0
2012-07-31,0.357,9.783,0.0
2012-08-01,0.0,10.927,0.0
2012-08-02,0.0,10.413,0.0
2012-08-03,0.0,10.63,0.0
2012-08-04,0.0,10.778,0.0
2012-08-05,0.351,10.021,0.0
2012-08-06,0.426,10.497,0.0
2012-08-07,0.069,8.786,0.0
2012-08-08,2.373,9.2,0.0
2012-08-09,3.126,9.166,0.0
2012-08-10,10.686,9.581,0.0
2012-08-11,27.384,9.84,0.0
2012-08-12,9.564,10.24,0.0
2012-08-13,1.617,11.601,0.0
2012-08-14,2.172,11.471,0.0
2012-08-15,3.96,11.164,0.0
2012-08-16,0.03,12.734,0.0
2012-08-17,0.0,12.111,0.0
2012-08-18,0.084,10.59,0.0
2012-08-19,0.435,9.827,0.0
2012-08-20,8.121,9.993,0.0
2012-08-21,6.078,10.218,0.0
2012-08-22,3.585,9.219,0.0
2012-08-23,2.436,8.241,0.0
2012-08-24,12.795,6.364,0.207
2012-08-25,1.311,4.431,0.033
2012-08-26,0.03,4.283,0.018
2012-08-27,0.174,4.403,0.03
2012-08-28,0.045,2.378,0.063
2012-08-29,1.443,2.317,0.534
2012-08-30,0.153,3.982,0.036
2012-08-31,19.806,7.004,0.378
2012-09-01,9.48,6.923,0.186
2012-09-02,1.536,5.971,0.177
2012-09-03,34.971,7.134,0.222
2012-09-04,2.142,3.257,1.089
2012-09-05,42.642,4.433,3.306
2012-09-06,2.913,3.726,0.684
2012-09-07,0.3,1.716,0.225
2012-09-08,0.036,2.127,0.036
2012-09-09,4.698,1.603,2.772
2012-09-10,10.389,-0.792,10.206
2012-09-11,1.806,-0.211,1.803
2012-09-12,13.875,1.262,2.517
2012-09-13,28.065,4.628,0.957
2012-09-14,6.24,2.448,0.879
2012-09-15,3.627,1.861,1.035
2012-09-16,0.555,0.634,0.561
2012-09-17,2.829,0.591,2.553
2012-09-18,0.096,1.028,0.105
2012-09-19,0.003,0.801,0.009
2012-09-20,0.0,1.192,0.0
2012-09-21,20.013,3.608,3.633
2012-09-22,8.271,5.014,0.852
2012-09-23,7.476,4.986,0.69
2012-09-24,2.844,5.121,0.102
2012-09-25,0.003,3.147,0.0
2012-09-26,4.515,3.473,0.72
2012-09-27,4.296,1.031,2.247
2012-09-28,1.257,0.742,1.14
2012-09-29,1.299,0.614,0.597
2012-09-30,2.355,2.672,0.864
2012-10-01,0.054,2.177,0.06
2012-10-02,0.147,0.644,0.153
2012-10-03,0.666,0.646,0.612
2012-10-04,0.207,1.871,0.168
2012-10-05,0.0,1.171,0.0
2012-10-06,4.785,1.554,1.419
2012-10-07,5.823,-0.053,4.614
2012-10-08,5.127,-0.902,2.658
2012-10-09,4.887,2.316,1.341
2012-10-10,48.132,3.937,9.84
2012-10-11,14.889,2.339,4.179
2012-10-12,2.07,2.542,0.807
2012-10-13,1.065,3.153,0.141
2012-10-14,0.0,0.201,0.0
2012-10-15,0.0,-0.111,0.0
2012-10-16,0.0,-1.153,0.0
2012-10-17,0.0,-2.865,0.0
2012-10-18,0.0,-4.632,0.0
2012-10-19,0.054,-2.557,0.057
2012-10-20,0.0,-1.601,0.0
2012-10-21,0.0,-1.556,0.0
2012-10-22,3.225,0.19,0.204
2012-10-23,1.842,0.735,0.105
2012-10-24,1.608,-0.597,0.945
2012-10-25,0.285,-2.972,0.189
2012-10-26,3.273,-4.403,3.039
2012-10-27,8.019,1.23,2.13
2012-10-28,0.015,-2.325,0.027
2012-10-29,0.09,-1.003,0.066
2012-10-30,0.6,-5.319,0.621
2012-10-31,3.21,-3.855,3.246
2012-11-01,2.112,-5.702,2.145
2012-11-02,3.528,-4.417,3.552
2012-11-03,3.522,-2.698,3.558
2012-11-04,0.027,-4.027,0.045
2012-11-05,12.477,2.041,1.569
2012-11-06,16.779,-2.024,12.924
2012-11-07,1.695,-1.484,1.557
2012-11-08,5.334,-0.956,3.615
2012-11-09,1.953,-1.156,1.917
2012-11-10,2.268,-6.142,2.301
2012-11-11,0.951,-5.395,0.99
2012-11-12,11.151,-0.114,7.923
2012-11-13,5.46,0.111,2.691
2012-11-14,14.145,-0.638,9.021
2012-11-15,18.039,-1.206,10.821
2012-11-16,1.419,-6.075,1.437
2012-11-17,2.433,-6.276,2.457
2012-11-18,1.461,-5.738,1.482
2012-11-19,0.0,-7.326,0.006
2012-11-20,0.003,-5.714,0.012
2012-11-21,2.466,-4.372,2.415
2012-11-22,1.77,-0.818,1.401
2012-11-23,5.208,-1.565,4.728
2012-11-24,8.166,-1.891,7.275
2012-11-25,0.255,-5.206,0.273
2012-11-26,0.321,-6.254,0.351
2012-11-27,0.009,-4.378,0.024
2012-11-28,1.371,-1.151,0.897
2012-11-29,2.937,-1.41,2.025
2012-11-30,0.048,-6.366,0.057
2012-12-01,2.799,-4.679,2.847
2012-12-02,15.405,-1.739,13.677
2012-12-03,8.928,-2.078,8.655
2012-12-04,1.923,-3.588,1.662
2012-12-05,4.92,-1.96,4.107
2012-12-06,0.051,-4.373,0.075
2012-12-07,23.349,-1.522,18.468
2012-12-08,3.861,-3.744,3.828
2012-12-09,0.0,-6.218,0.0
2012-12-10,0.84,-2.954,0.831
2012-12-11,0.555,-0.421,0.534
2012-12-12,0.072,-3.251,0.087
2012-12-13,0.0,-5.673,0.009
2012-12-14,0.0,-6.863,0.006
2012-12-15,0.042,-4.406,0.072
2012-12-16,0.024,-4.362,0.042
2012-12-17,0.207,-5.043,0.228
2012-12-18,0.003,-6.114,0.006
2012-12-19,0.084,0.085,0.018
2012-12-20,0.906,2.152,0.342
2012-12-21,5.838,1.366,2.982
2012-12-22,3.039,1.337,1.86
2012-12-23,1.206,-2.894,0.909
2012-12-24,0.108,-5.74,0.141
2012-12-25,0.06,-9.19,0.093
2012-12-26,0.09,-9.681,0.102
2012-12-27,2.652,-4.54,2.616
2012-12-28,23.541,-0.049,16.611
2012-12-29,5.463,-1.149,4.503
2012-12-30,0.717,-5.698,0.75
2012-12-31,1.266,-4.716,1.299
2013-01-01,5.655,-5.347,5.61
2013-01-02,16.92,0.365,11.22
2013-01-03,8.622,0.21,4.944
2013-01-04,41.031,2.886,2.439
2013-01-05,3.936,-0.067,3.087
2013-01-06,13.527,0.324,9.912
2013-01-07,0.051,-0.714,0.033
2013-01-08,4.767,0.272,2.289
2013-01-09,13.05,0.254,4.539
2013-01-10,11.319,0.305,7.893
2013-01-11,2.679,0.145,1.467
2013-01-12,1.044,-2.457,1.002
2013-01-13,3.258,-5.104,3.279
2013-01-14,0.231,-6.862,0.249
2013-01-15,37.686,-0.253,28.593
2013-01-16,9.45,-0.558,6.213
2013-01-17,5.346,0.68,2.16
2013-01-18,7.92,0.921,3.954
2013-01-19,2.991,-0.57,2.556
2013-01-20,0.645,-0.983,0.615
2013-01-21,0.252,-1.396,0.264
2013-01-22,0.318,-2.622,0.312
2013-01-23,0.252,-4.135,0.258
